Județ;Localitate;Adresa;Tip;Latitudine;Longitudine;Capacitatea
BIF;Sector 1;"Şos. Bucureşti-Ploieşti 53A AUTOMOBILE BAVARIA
- S.R.L.";privat;44,501622;26,079864;114
BIF;Sector 1;"P-ta Walter Maracineanu  nr. 1-3  Proprietar RAAPPS-
SAIFI(birouri)";privat;44,437440;26,093883;140
BIF;Sector 1;Calea Floreasca 246D Proprietar FCC OFFICE Building;privat;44,477668;26,104950;531
BIF;Sector 1;Calea Floreasca 246B Florescu City Center S.R.L.;privat;44,478520;26,103636;298
BIF;Sector 1;Calea Floreasca 246C Florescu City Center S.R.L.;privat;44,478215;26,104630;753
BIF;Sector 1;Afi Park Floreasca, Calea Floreasca 169A Birouri;privat;44,478604;26,101343;310
BIF;Sector 1;"Piata Presei Libere 3-5corp T1 turn N Piata Presei
Birouri";privat;44,478332;26,070958;163
BIF;Sector 1;Piata Presei Libere 3-5 corp T2 turn N Romexpo Birouri;privat;44,477336;26,071503;207
BIF;Sector 1;"Piata Presei Libere 3-5 corp T1 turn S Piata Presei
Birouri";privat;44,478184;26,071310;163
BIF;Sector 1;Piata Presei Libere 3-5 corp T1 turn S Romexpo Birouri;privat;44,477493;26,071581;207
BIF;Sector 1;"Cristal Tower, Bd. Iancu de Hunedoara (Ilie  Pintilie), nr.
48";privat;44.452658;26.095557;300
BIF;Sector 1;"Corvinius Internaţional, Hotel Capitol Plaza, Bd. Iancu
de Hunedoarea (Ilie Pintilie) ,nr. 54";privat;44.452784;26.096401;80
BIF;Sector 1;"Avangardard Office Building, Bd. Iancu de Hunedoarea
(Ilie Pintilie), nr. 54 B";privat;44.452756;26.096735;160
BIF;Sector 1;"Sediul Central Piraeus Bank, Şos. Nicolae Titulescu, nr.
29-31";privat;44.451840;26.081537;250
BIF;Sector 1;"Complex Multifuncţional Victoria Şos. Nicolae
Titulescu, nr. 4-8";privat;44.452519;26.082301;300
BIF;Sector 1;B.R.D. Sediu Central, Bd. Ion Mihalache nr. 1-7;privat;44.452825;26.083450;400
BIF;Sector 1;Sos.Panduri Nr. 90 Universitatea din Bucuresti;privat;44.436423;26.102434;135
BIF;Sector 1;Str.Dionisie Lupu Nr. 64-66;privat;44.443710;26.101515;100
BIF;Sector 1;Bdul Poligrafiei Nr. 1C CROWE Plaza (HOTEL);privat;44.28461;26.03519;58
BIF;Sector 1;Bdul Poligrafiei Nr. 1C CROWE Plaza (HOTEL);privat;44.479463;26.064421;65
BIF;Sector 1;Calea Victoriei nr. 133;privat;44.265244;26.052098;900
BIF;Sector 1;EEC  Invest  Imobiliare, Str.  Polonă  nr. 68-72;privat;44.450407;26.102549;100
BIF;Sector 1;"HR  GLL CDG  Plaza, Piata Charles de Gaulle (Piaţa
Victoriei), nr. 15";privat;44.465304;26.087257;250
BIF;Sector 1;Promenada  Bucuresti, Calea  Floreasca, nr. 244-246;privat;44.478552;26.103654;298
BIF;Sector 1;"Global Worth Plaza (Corinthian Tower) Şos. Pipera, nr.
42";privat;44.480228;26.103898;147
BIF;Sector 1;SKY Tower Calea Floreasca, nr. 246 C;privat;44.479149;26.102209;753
BIF;Sector 1;FCC Office Bilding, Calea Floreasca, nr. 246 D;privat;44.477602;26.104927;531
BIF;Sector 1;Smartown Investments Şos. Bucureşti Nord, nr. 15-25;privat;44.489721;26.125634;1800
BIF;Sector 1;Romanitza Offices, Str. Macul Rosu Nr. 1-3;privat;44.451654;26.081627;125
BIF;Sector 1;P.C. Center  (ANAF), Sos. Bucuresti-Ploiesti Nr. 9-13;privat;44.491355;26.078601;300
BIF;Sector 1;"Iridex Group Import-Export, Sos. Bucuresti-Ploiesti nr.
13-17";privat;44.491769;26.078814;250
BIF;Sector 1;Lama Med, Sos. Bucuresti-Ploiesti nr. 7A;privat;44.490679;26.078529;100
BIF;Sector 1;Bogard Center, Str. Ion Brezoianu nr. 27;privat;44.436316;26.094572;120
BIF;Sector 1;Hotel Athina Suites, Str. Mihai Eminescu nr. 92-94;privat;44.447838;26.105192;22
BIF;Sector 1;Hotel Athina Suites, Str. Mihai Eminescu nr. 92-94;privat;44.447838;26.105192;97
BIF;Sector 1;Leonardo Bucharest City, Calea Victoriei nr. 166;privat;44.445538;26.091629;80
BIF;Sector 1;Hill Investitii si Constructii, Bld. Dacia nr. 20;privat;44.446679;26.095569;75
BIF;Sector 1;Hotel Novotel (hotel), Calea Victoriei nr. 37B;privat;44.436971;26.097187;300
